year,wb_gdp_deflator,wb_cpi,wb_inflation_cpi_pct,wb_exchange_rate_uzs_usd,wb_real_gdp_growth_pct,wb_real_gdp,wb_real_gdp_per_capita,wb_gdp_current_usd,wb_gni_per_capita_atlas,wb_agriculture_pct_gdp,wb_industry_pct_gdp,wb_services_pct_gdp,wb_population,wb_dependency_ratio,wb_unemployment_pct,wb_participation_pct,wb_participation_female_pct,wb_employment_agriculture_pct,wb_employment_industry_pct,wb_employment_services_pct,wb_capital_formation_pct_gdp,wb_trade_pct_gdp,wb_exports_pct_gdp,wb_imports_pct_gdp,wb_remittances_pct_gdp,wb_current_account_pct_gdp,wb_fdi_pct_gdp,wb_reserves_months,wb_external_debt_usd,wb_revenue_pct_gdp,wb_expense_pct_gdp,wb_net_lending_pct_gdp,wb_poverty_national_pct,wb_poverty_215_pct,wb_gini_index
2016,211.91956146702,185.134519079165,8.130886695236,2965.25349937684,6.71108022628,104112205483.946,3327.90932206401,97871364319.3985,3230.0,25.7139411156526,24.566866846542,41.9898933993247,31284568,50.0611692979578,5.16,56.447,39.57,27.4220937139458,23.0554068019345,49.5224994841197,23.7962055076888,25.6926479568511,10.8545454664346,14.8381024904165,5.92110004959139,0.217874038430629,1.69905310280349,19.914018921891,15334623459.2,17.3636423845651,12.6164114774292,3.06420505858676,,,
2017,257.782089314789,210.823308306966,13.8757425441635,5113.87894595717,4.70027401956061,109005764429.499,3425.78819696408,72276404057.649,2890.0,24.7588478005735,13.3392465666927,39.5614976850092,31819178,50.8221131406473,5.83,56.468,39.652,27.1539848581967,23.0527389904132,49.7932678560571,26.2597739110439,41.0443062055515,17.8214088937599,23.2228973117917,9.86511688347538,2.04476697126481,2.4880865313219,18.8661574312442,16701437846.8,14.9964001669678,12.2589502018046,1.19225244333732,,,
2018,326.419541594495,247.768363601715,17.5241796514055,8069.60623655914,5.72368380757618,115244909717.475,3559.85436594803,61318332402.7908,2490.0,22.962221977009,29.650867498632,38.1762326664905,32373490,51.7097466682868,5.392,56.552,39.739,26.6493914736113,22.6653905613483,50.6852179650404,33.4959684906661,61.395110017578,23.1429879161057,38.2521221014723,12.4100140915204,-5.85985590733897,1.01875982438812,12.9240353308614,18258516232.9,18.3618721452391,14.0744147200816,2.33543843932854,,,
2019,383.035837319382,283.758541881172,14.5257359560687,8836.7875,6.79331098484522,123073854828.787,3733.50435754861,70170662562.6111,2240.0,21.1335355089228,32.7358467114226,38.8311667329587,32964701,52.7698563917884,4.936,56.626,39.89,26.1766052839745,23.2337102815411,50.5896924101986,37.5511039982581,62.3003782302878,24.3107685844352,37.9896096458527,12.179098017749,-4.80432180452473,3.30121289679898,12.2010067246417,24961864235.4,17.3161342582396,14.3808618361187,0.428914942194539,,,
2020,428.587510773579,320.271824153995,12.8677297362606,10054.2613341653,1.62162281640448,125069648539.719,3723.82133264406,70127127133.2164,2090.0,21.5708620304833,33.3913940291016,38.7460145833136,33586372,53.9511270861508,5.293,55.517,39.097,27.1860834171962,23.4344074033211,49.3795091794828,35.6185340527013,53.1070769988551,20.7641734938368,32.3429035050183,10.1012633712903,-4.31770821939444,2.46444977604592,17.1535876412365,37154092630.0,18.3600418406121,18.0452274411827,-1.62467529778057,,,
2021,483.779335998888,355.018882210762,10.8492397508122,10609.464390809,8.20448512353877,135330969248.223,3951.99657327359,81170051810.5825,2360.0,21.4018272914351,33.2412468981763,39.3194699013371,34243696,55.2497682839009,5.364,56.03,39.587,26.9945200455118,23.6928859187452,49.3126019234068,35.9146303184061,54.7477822134912,20.3020010917247,34.4457811217665,11.4289013918049,-6.03366775527398,2.80927561208071,14.0879268415418,44872282608.6,18.5423647146043,21.8708762446776,-3.99062780630644,17.0,4.4,32.9
2022,551.717951092703,395.656628724737,11.4466436998836,11050.145422363,6.08592335737373,143567108315.461,4109.08421031655,94286355836.1594,2620.0,20.3856963443599,31.893484523486,41.9832790119879,34938955,56.5268870521244,4.456,57.685,41.1,26.5612109703802,23.8986156957819,49.5401658544276,33.3171368327978,60.0483582576289,22.2329593873839,37.815398870245,16.4521404037101,-3.01865917303125,2.81838908878173,11.0213280799862,53592822615.9,20.155434648709,22.0498816046985,-3.39863770838486,14.1,4.4,31.2
2023,628.483844755428,435.050539874052,9.95659071258018,11734.8334198669,6.31603004201926,152634850007.123,4281.20542121225,107526539716.318,2880.0,19.6622079976968,31.1420713958264,44.5611820065481,35652307,57.6444238962333,4.434,57.743,41.24,26.1279176228967,24.1341945506432,49.7378951792477,33.0290737657093,63.102194304905,23.3152321915222,39.7869621133828,13.1771038486206,-7.25129879099619,2.0054127330605,8.8289303287966,61569881480.8,19.3602832692413,22.344366105039,-4.08074522774552,11.0,4.1,34.5
2024,716.909849103634,476.938313750946,9.62825465956682,12652.2868209739,6.67618796188361,162825039488.938,4477.90745486742,121356065241.228,3170.0,17.7295044800399,32.0099854345535,46.3253634726906,36361859,58.6494292141216,4.439,57.701,41.273,25.6474629581127,24.3810594797073,49.97147756218,39.0472249923559,57.5295432552977,21.5670052817339,35.9625379735638,13.6616648886765,-4.71597432187069,2.45125129042312,10.2786124689433,70256401083.6,,,,8.9,2.7,34.6
2025,801.880033168474,518.891660593249,8.79638847052461,12579.3943476702,7.69962477932913,175361956576.381,4732.67835236137,147038081129.405,3670.0,16.5595763193311,32.5442025042326,46.4894145533052,37053428,59.6418459559503,4.622,57.499,41.178,25.1978529929594,24.6114383374347,50.1906943451481,33.277986337555,57.4005392040216,22.0359976818514,35.3645415221702,14.2840818720217,-3.93381123699979,2.99134974013705,,,,,,5.8,2.3,32.7
