Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
1710250,Yakkabog‘ tumani,Яккабагский район,Yakkabag district,Яккабоғ тумани,1039.0,1143.0,1430.0,1495.0,1186.0,1254.0,1239.0,1213.0,1233.0,1424.0,1671.0,1986.0,2433.0,2847.0,2299.0,1875.0,2039.0
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,7024.0,7249.0,7857.0,7919.0,8062.0,8127.0,8533.0,8771.0,9469.0,11175.0,17067.0,20133.0,22711.0,25179.0,21880.0,18515.0,20982.0
1712401,Navoiy shahri,Город Навои,Navoi city,Навоий шаҳри,2063.0,2052.0,2237.0,2263.0,2346.0,2327.0,2518.0,2647.0,2892.0,3310.0,4049.0,4624.0,5187.0,5589.0,4921.0,4617.0,5281.0
1712408,Zarafshon shahri,Город Заpафшан,Zarafshan city,Зарафшон шаҳри,457.0,477.0,502.0,485.0,467.0,484.0,507.0,519.0,560.0,707.0,1387.0,1423.0,1660.0,1803.0,1416.0,1257.0,1398.0
1712412,G‘ozg‘on shahri,Город Газган,Gazgan city,Ғозғон шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,271.0,352.0,427.0,353.0,461.0
1712211,Konimex tumani,Канимехский  район,Kanimekh district,Конимех тумани,282.0,289.0,324.0,295.0,282.0,269.0,259.0,257.0,271.0,349.0,628.0,790.0,905.0,1043.0,1013.0,832.0,980.0
1712216,Qiziltepa tumani,Кызылтепинский район,Kyzyltepa district,Қизилтепа тумани,779.0,833.0,893.0,895.0,937.0,979.0,1032.0,1032.0,1072.0,1232.0,2160.0,2641.0,2980.0,3312.0,2917.0,2471.0,2754.0
1712230,Navbahor tumani,Навбахорский район,Navbahor district,Навбаҳор тумани,514.0,570.0,613.0,623.0,641.0,657.0,697.0,705.0,806.0,984.0,1662.0,2008.0,2334.0,2631.0,2252.0,1818.0,1966.0
1712234,Karmana tumani,Карманинский район,Karmana district,Кармана тумани,1049.0,1130.0,1246.0,1278.0,1384.0,1434.0,1494.0,1574.0,1671.0,1926.0,2748.0,3229.0,3586.0,3945.0,3270.0,2924.0,3416.0
1712238,Nurota tumani,Нуратинский район,Nurota district,Нурота тумани,619.0,611.0,651.0,636.0,668.0,645.0,682.0,676.0,755.0,941.0,1339.0,1526.0,1542.0,1766.0,1559.0,1240.0,1422.0
1712244,Tomdi tumani,Тамдынский район,Tomdy district,Томди тумани,144.0,140.0,148.0,150.0,153.0,150.0,151.0,158.0,163.0,186.0,295.0,415.0,552.0,654.0,661.0,423.0,478.0
1712248,Uchquduq tumani,Учкудукский район,Uchkuduk district,Учқудуқ тумани,303.0,291.0,298.0,301.0,308.0,299.0,296.0,298.0,332.0,415.0,734.0,940.0,896.0,1076.0,872.0,698.0,715.0
1712251,Xatirchi tumani,Хатырчинский район,Khatyrchi district,Хатирчи тумани,814.0,856.0,945.0,993.0,876.0,883.0,897.0,905.0,947.0,1125.0,2065.0,2521.0,2798.0,3008.0,2572.0,1882.0,2111.0
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,13207.0,14289.0,14569.0,15076.0,15953.0,16698.0,17695.0,18746.0,19952.0,21269.0,25909.0,30882.0,33422.0,36914.0,27634.0,23920.0,27097.0
1714401,Namangan shahri,Город Наманган,Namangan city,Наманган шаҳри,4914.0,5111.0,4893.0,5245.0,5789.0,6109.0,6594.0,7316.0,8122.0,8144.0,9337.0,10430.0,10810.0,12073.0,8539.0,7628.0,8447.0
1714204,Mingbuloq tumani,Мингбулакский район,Mingbulak district,Мингбулоқ тумани,528.0,626.0,636.0,609.0,617.0,639.0,675.0,715.0,756.0,859.0,1111.0,1371.0,1543.0,1654.0,1296.0,1229.0,1498.0
