Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1718218,Narpay tumani,Нарпайский район,Narpai district,Нарпай тумани,4.3,3.8,3.9,4.0,4.5,4.7,4.9,5.8,9.2,8.5,10.7,9.4,9.2,6.5,5.4,5.0
1718224,Payariq tumani,Пайарыкский район,Payaryk district,Паяриқ тумани,4.6,4.6,4.5,4.6,5.4,5.7,6.0,7.0,10.0,9.6,11.1,9.9,9.2,6.7,5.4,5.2
1718227,Pastdarg‘om tumani,Пастдаргомский район,Pastdargom district,Пастдарғом тумани,6.2,6.0,6.1,6.2,7.3,7.7,8.0,9.4,14.6,11.7,15.1,14.0,13.3,9.5,7.9,7.1
1718230,Paxtachi tumani,Пахтачийский район,Pakhtachi district,Пахтачи тумани,3.2,2.8,3.1,3.1,3.4,3.6,3.7,4.4,6.1,5.6,6.7,5.7,5.7,4.0,3.3,3.0
1718233,Samarqand tumani,Самаркандский район,Samarkand district,Самарқанд тумани,6.5,5.9,6.2,6.4,6.7,7.3,7.6,8.9,10.5,9.9,11.5,10.8,10.9,6.9,5.3,4.6
1718235,Nurobod tumani,Нурабадский район,Nurabad district,Нуробод тумани,2.9,2.6,2.8,2.9,3.1,3.3,3.5,4.1,5.9,5.7,6.8,6.3,5.9,4.4,4.1,3.7
1718236,Urgut tumani,Ургутский район,Urgut district,Ургут тумани,9.5,9.4,9.7,9.9,10.1,10.7,11.2,13.2,18.5,17.7,21.5,19.1,18.9,13.2,10.6,10.6
1718238,Tayloq tumani,Тайлякский район,Tailak district,Тайлоқ тумани,4.0,3.7,3.8,3.9,4.2,4.4,4.2,5.0,7.4,7.2,9.3,8.7,8.5,5.7,4.5,4.0
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,48.3,46.3,46.6,47.6,52.0,53.7,56.8,71.0,105.3,104.6,122.8,113.9,103.6,80.6,64.6,54.7
1722401,Termiz shahri,Город Термез,Termiz  city,Термиз шаҳри,2.5,2.9,2.9,3.0,3.3,3.4,3.6,4.4,8.0,8.4,9.9,8.0,7.6,5.6,4.4,3.8
