Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1710405,Shahrisabz shahri,Город Шахрисабз,Shakhrisabz city,Шаҳрисабз шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.7,210.8,281.7,309.4,319.1,277.3
1710240,Ko‘kdala tumani,Кукдалинский район,Kukdala district,Кўкдала тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.4
1710207,G‘uzor tumani,Гузарский район,Gissar district,Ғузор тумани,6.2,10.2,12.6,23.9,24.2,28.8,38.7,61.0,74.5,101.5,134.8,184.2,119.9
1710212,Dehqonobod tumani,Дехканабадский район,Dehkanabad district,Деҳқонобод тумани,3.5,5.7,6.6,11.3,11.9,16.7,18.7,38.6,46.0,65.5,95.7,97.9,66.2
1710220,Qamashi tumani,Камашинский район,Kamashi district,Қамаши тумани,35.7,24.6,28.5,48.4,50.7,67.7,91.1,141.7,140.7,195.5,222.7,228.5,140.0
1710224,Qarshi tumani,Каршинский район,Karshi district,Қарши тумани,12.9,18.3,21.1,35.3,37.4,49.2,68.6,128.1,159.6,175.9,213.6,240.0,134.4
1710229,Koson tumani,Касанский район,Kasan district,Косон тумани,79.6,80.5,85.3,136.8,125.7,150.9,183.5,211.2,270.2,326.0,363.5,343.7,216.0
1710232,Kitob tumani,Китабский район,Kitab district,Китоб тумани,29.6,38.1,44.1,76.8,80.7,113.3,127.1,164.8,165.1,223.0,236.2,230.2,150.0
1710233,Mirishkor tumani,Миришкорский район,Mirishkor district,Миришкор тумани,7.8,14.2,16.4,29.5,30.9,39.8,42.6,56.7,65.0,143.0,110.3,186.1,138.5
1710234,Muborak tumani,Мубарекский район,Mubarek district,Муборак тумани,9.4,11.9,14.0,27.7,28.1,29.8,31.5,55.2,65.3,91.0,105.9,107.3,85.3
1710235,Nishon tumani,Нишанский  район,Nishon district,Нишон тумани,9.3,9.7,10.9,17.9,18.9,39.2,34.2,63.1,70.4,105.5,135.7,111.1,125.9
1710237,Kasbi tumani,Касбинский район,Kasbi district,Касби тумани,4.7,8.7,10.1,17.8,18.7,24.3,28.3,70.8,81.5,124.9,391.1,170.1,245.0
1710242,Chiroqchi tumani,Чиракчинский район,Chirakchi district,Чироқчи тумани,22.6,41.7,48.6,85.0,89.1,110.7,116.8,140.4,173.6,228.2,261.0,274.5,171.4
1710245,Shahrisabz tumani,Шахрисабзский район,Shakhrisabz district,Шаҳрисабз тумани,141.4,188.0,219.4,345.2,352.3,428.8,495.1,246.3,235.7,348.1,417.0,414.4,148.9
1710250,Yakkabog‘ tumani,Яккабагский район,Yakkabag district,Яккабоғ тумани,25.7,44.3,49.1,78.8,83.9,109.2,110.7,154.1,214.0,287.2,465.5,362.0,268.5
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,455.8,568.7,716.5,1096.1,1112.2,1768.6,2139.2,2193.6,2528.3,3243.4,3896.5,4342.5,3156.4
1712401,Navoiy shahri,Город Навои,Navoi city,Навоий шаҳри,312.7,395.7,479.9,355.4,357.5,557.4,651.3,646.5,767.1,911.7,1199.0,1108.0,592.7
1712408,Zarafshon shahri,Город Заpафшан,Zarafshan city,Зарафшон шаҳри,40.8,24.8,18.6,87.1,88.0,140.8,142.2,142.6,147.0,218.5,245.0,320.3,212.2
1712412,G‘ozg‘on shahri,Город Газган,Gazgan city,Ғозғон шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.3,19.3
1712211,Konimex tumani,Канимехский  район,Kanimekh district,Конимех тумани,3.4,5.4,7.3,28.6,29.4,45.8,57.1,56.5,58.6,76.8,87.3,104.5,84.0
